order_id,product_id,price,rating,return_status,low_rating_flag,product_order_count,price_bucket_Low,price_bucket_Medium,risk_score,risk_category
O0001,P909,141.9,3,0,0,2,True,False,0.1540506916697189,Low
O0002,P778,232.72,3,0,0,2,False,True,0.1830608099925578,Low
O0003,P508,496.9,3,0,0,1,False,False,0.3774834244942145,Medium
O0004,P763,138.81,3,0,0,3,True,False,0.1513080432215836,Low
O0005,P255,453.4,1,1,1,4,False,False,0.6182382317026194,High
O0006,P881,48.02,5,0,0,4,True,False,0.06843229873889915,Low
O0007,P144,430.74,2,1,1,1,False,False,0.5336631165146063,Medium
O0008,P678,253.85,5,0,0,1,False,True,0.1047313501349902,Low
O0009,P670,329.87,5,0,0,2,False,False,0.17843940238730402,Low
O0010,P612,119.48,2,0,1,6,True,False,0.25926076842724943,Low
O0011,P462,89.98,3,0,0,2,True,False,0.1420258620039895,Low
O0012,P424,467.77,3,1,0,2,False,False,0.36140184902977707,Medium
O0013,P426,226.59,3,0,0,5,False,True,0.17456982923773576,Low
O0014,P140,437.54,1,1,1,3,False,False,0.6150199229850948,High
O0015,P327,208.84,2,0,1,4,False,True,0.3070350747098163,Medium
O0016,P821,180.9,4,0,0,6,False,True,0.11865735974023829,Low
O0017,P359,328.41,3,0,0,2,False,False,0.30463636188957915,Medium
O0018,P534,292.83,1,1,1,2,False,True,0.4313114628039297,Medium
O0019,P696,202.18,2,0,1,5,False,True,0.3011606678221712,Medium
O0020,P235,85.44,3,1,0,3,True,False,0.1391426069162984,Low
O0021,P368,213.81,2,0,1,1,False,True,0.3190122170126548,Medium
O0022,P932,192.18,2,1,1,3,False,True,0.30383515623741114,Medium
O0023,P316,27.35,2,0,1,1,True,False,0.24205321706385977,Low
O0024,P612,218.22,4,0,0,6,False,True,0.12601718613809632,Low
O0025,P130,255.96,4,1,0,4,False,True,0.13749433152946863,Low
O0026,P587,396.8,3,0,0,5,False,False,0.3216406873840331,Medium
O0027,P116,400.79,3,0,0,2,False,False,0.333512712297395,Medium
O0028,P975,128.91,5,0,0,2,True,False,0.08081196435018209,Low
O0029,P799,154.24,5,0,0,1,False,True,0.08877149135671238,Low
O0030,P948,253.76,2,1,1,1,False,True,0.3351642957418545,Medium
O0031,P880,168.35,5,0,0,3,False,True,0.08835780328678368,Low
O0032,P140,134.63,1,1,1,3,True,False,0.34904315032922323,Medium
O0033,P393,57.66,3,0,0,2,True,False,0.1349430074549232,Low
O0034,P982,160.72,2,0,1,5,False,True,0.2853763948408768,Low
O0035,P331,250.45,4,0,0,3,False,True,0.13813608023381416,Low
O0036,P913,259.15,3,0,0,4,False,True,0.18569386166796714,Low
O0037,P389,470.88,4,0,0,2,False,False,0.28582819767398343,Low
O0038,P750,474.43,1,0,1,3,False,False,0.6309366450778162,High
O0039,P509,61.51,2,0,1,2,True,False,0.2508242867203,Low
O0040,P493,50.16,1,0,1,1,True,False,0.321390755786662,Medium
O0041,P394,258.34,4,0,0,1,False,True,0.1436480875479373,Low
O0042,P163,170.31,4,1,0,2,False,True,0.12318951854072431,Low
O0043,P421,291.72,2,1,1,2,False,True,0.34735112644081234,Medium
O0044,P852,171.62,3,0,0,2,False,True,0.16686664393693468,Low
O0045,P193,131.7,5,0,0,5,True,False,0.07778631152577287,Low
O0046,P344,160.22,4,0,0,3,False,True,0.11955741131193151,Low
O0047,P127,22.44,5,0,0,3,True,False,0.06645305513859952,Low
O0048,P681,280.35,1,0,1,2,False,True,0.4256966867956553,Medium
O0049,P443,277.57,5,0,0,5,False,True,0.10300779039579287,Low
O0050,P994,185.65,5,0,0,4,False,True,0.08967631991267536,Low
O0051,P944,341.44,5,0,0,1,False,False,0.1838952440099567,Low
